Date,USD/INR
19-03-1976,8.93
22-03-1976,8.93
23-03-1976,8.93
24-03-1976,8.93
25-03-1976,8.93
26-03-1976,8.97
29-03-1976,8.97
30-03-1976,8.97
31-03-1976,8.97
01-04-1976,8.97
02-04-1976,9.01
05-04-1976,9.01
06-04-1976,9.01
07-04-1976,9.01
08-04-1976,9.01
09-04-1976,9.01
12-04-1976,9.01
13-04-1976,9.01
14-04-1976,9.01
15-04-1976,9.01
16-04-1976,9.01
19-04-1976,9.01
20-04-1976,9.01
21-04-1976,9.01
22-04-1976,9.09
23-04-1976,8.93
26-04-1976,8.93
27-04-1976,8.93
28-04-1976,8.93
29-04-1976,8.93
30-04-1976,8.97
03-05-1976,8.97
04-05-1976,8.97
05-05-1976,8.97
06-05-1976,8.97
07-05-1976,9.01
10-05-1976,9.01
11-05-1976,9.01
12-05-1976,9.01
13-05-1976,9.01
14-05-1976,9.01
17-05-1976,9.01
18-05-1976,9.01
19-05-1976,9.01
20-05-1976,9.01
21-05-1976,9.05
24-05-1976,9.05
25-05-1976,9.05
26-05-1976,9.05
27-05-1976,9.05
28-05-1976,9.3
31-05-1976,
01-06-1976,9.3
02-06-1976,9.35
03-06-1976,9.35
04-06-1976,9.3
07-06-1976,9.3
08-06-1976,9.3
09-06-1976,9.3
10-06-1976,9.3
11-06-1976,9.01
14-06-1976,9.01
15-06-1976,9.01
16-06-1976,9.01
17-06-1976,9.01
18-06-1976,8.97
21-06-1976,8.97
22-06-1976,8.97
23-06-1976,8.97
24-06-1976,8.97
25-06-1976,9.01
28-06-1976,9.01
29-06-1976,9.01
30-06-1976,9.01
01-07-1976,9.01
02-07-1976,8.89
05-07-1976,
06-07-1976,8.89
07-07-1976,8.89
08-07-1976,8.89
09-07-1976,8.97
12-07-1976,8.97
13-07-1976,8.97
14-07-1976,8.97
15-07-1976,8.97
16-07-1976,8.9
19-07-1976,8.9
20-07-1976,8.9
21-07-1976,8.9
22-07-1976,8.9
23-07-1976,8.9
26-07-1976,8.9
27-07-1976,8.9
28-07-1976,8.9
29-07-1976,8.9
30-07-1976,8.97
02-08-1976,8.97
03-08-1976,8.97
04-08-1976,8.97
05-08-1976,8.97
06-08-1976,8.97
09-08-1976,8.97
10-08-1976,8.97
11-08-1976,8.97
12-08-1976,8.97
13-08-1976,8.97
16-08-1976,8.97
17-08-1976,8.97
18-08-1976,8.97
19-08-1976,8.97
20-08-1976,8.97
23-08-1976,8.97
24-08-1976,8.97
25-08-1976,8.97
26-08-1976,8.97
27-08-1976,9.01
30-08-1976,9.01
31-08-1976,9.01
01-09-1976,9.01
02-09-1976,9.01
03-09-1976,9.01
06-09-1976,
07-09-1976,9.01
08-09-1976,9.01
09-09-1976,9.01
10-09-1976,9.13
13-09-1976,9.13
14-09-1976,9.13
15-09-1976,9.13
16-09-1976,9.13
17-09-1976,9.13
20-09-1976,9.13
21-09-1976,9.13
22-09-1976,9.13
23-09-1976,9.13
24-09-1976,9.03
27-09-1976,9.03
28-09-1976,9.17
29-09-1976,8.85
30-09-1976,8.85
01-10-1976,8.85
